,case_date,charges_f,charges_m,ucr,offense_type,charges_fm
90,2001-07-01,0.0,111,{'charge_slug': '50-theft-of-lost-or-mislaid-property'},theft of lost or mislaid property,111.0
91,2001-07-01,3.0,5,{'charge_slug': '59-theft-from-coin-operated-machine-or-device'},theft from coin operated machine or device,8.0
92,2001-07-01,155.0,426,{'charge_slug': '58-theft-from-building'},theft from building,581.0
93,2001-07-01,,0,{'charge_slug': '55-delivery-container-theft'},delivery container theft,
94,2001-07-01,254.0,1161,{'charge_slug': '54-retail-theft'},retail theft,1415.0
95,2001-08-01,283.0,1394,{'charge_slug': '54-retail-theft'},retail theft,1677.0
96,2001-08-01,0.0,114,{'charge_slug': '50-theft-of-lost-or-mislaid-property'},theft of lost or mislaid property,114.0
97,2001-08-01,1.0,10,{'charge_slug': '59-theft-from-coin-operated-machine-or-device'},theft from coin operated machine or device,11.0
98,2001-08-01,161.0,438,{'charge_slug': '58-theft-from-building'},theft from building,599.0
99,2001-08-01,,0,{'charge_slug': '55-delivery-container-theft'},delivery container theft,
100,2001-09-01,,0,{'charge_slug': '55-delivery-container-theft'},delivery container theft,
101,2001-09-01,149.0,339,{'charge_slug': '58-theft-from-building'},theft from building,488.0
102,2001-09-01,1.0,10,{'charge_slug': '59-theft-from-coin-operated-machine-or-device'},theft from coin operated machine or device,11.0
103,2001-09-01,2.0,79,{'charge_slug': '50-theft-of-lost-or-mislaid-property'},theft of lost or mislaid property,81.0
104,2001-09-01,218.0,1150,{'charge_slug': '54-retail-theft'},retail theft,1368.0
105,2001-10-01,295.0,1567,{'charge_slug': '54-retail-theft'},retail theft,1862.0
106,2001-10-01,0.0,3,{'charge_slug': '59-theft-from-coin-operated-machine-or-device'},theft from coin operated machine or device,3.0
107,2001-10-01,,0,{'charge_slug': '55-delivery-container-theft'},delivery container theft,
108,2001-10-01,1.0,132,{'charge_slug': '50-theft-of-lost-or-mislaid-property'},theft of lost or mislaid property,133.0
109,2001-10-01,153.0,415,{'charge_slug': '58-theft-from-building'},theft from building,568.0
110,2001-11-01,334.0,1184,{'charge_slug': '54-retail-theft'},retail theft,1518.0
111,2001-11-01,,0,{'charge_slug': '55-delivery-container-theft'},delivery container theft,
112,2001-11-01,1.0,120,{'charge_slug': '50-theft-of-lost-or-mislaid-property'},theft of lost or mislaid property,121.0
113,2001-11-01,168.0,285,{'charge_slug': '58-theft-from-building'},theft from building,453.0
114,2001-11-01,0.0,3,{'charge_slug': '59-theft-from-coin-operated-machine-or-device'},theft from coin operated machine or device,3.0
115,2001-12-01,,0,{'charge_slug': '55-delivery-container-theft'},delivery container theft,
116,2001-12-01,128.0,358,{'charge_slug': '58-theft-from-building'},theft from building,486.0
117,2001-12-01,0.0,85,{'charge_slug': '50-theft-of-lost-or-mislaid-property'},theft of lost or mislaid property,85.0
118,2001-12-01,0.0,2,{'charge_slug': '59-theft-from-coin-operated-machine-or-device'},theft from coin operated machine or device,2.0
119,2001-12-01,357.0,1191,{'charge_slug': '54-retail-theft'},retail theft,1548.0
120,2002-01-01,1.0,109,{'charge_slug': '50-theft-of-lost-or-mislaid-property'},theft of lost or mislaid property,110.0
121,2002-01-01,388.0,1347,{'charge_slug': '54-retail-theft'},retail theft,1735.0
122,2002-01-01,143.0,330,{'charge_slug': '58-theft-from-building'},theft from building,473.0
123,2002-01-01,0.0,5,{'charge_slug': '59-theft-from-coin-operated-machine-or-device'},theft from coin operated machine or device,5.0
124,2002-01-01,,0,{'charge_slug': '55-delivery-container-theft'},delivery container theft,
125,2002-02-01,311.0,976,{'charge_slug': '54-retail-theft'},retail theft,1287.0
126,2002-02-01,0.0,97,{'charge_slug': '50-theft-of-lost-or-mislaid-property'},theft of lost or mislaid property,97.0
127,2002-02-01,114.0,256,{'charge_slug': '58-theft-from-building'},theft from building,370.0
128,2002-02-01,,0,{'charge_slug': '55-delivery-container-theft'},delivery container theft,
129,2002-02-01,0.0,3,{'charge_slug': '59-theft-from-coin-operated-machine-or-device'},theft from coin operated machine or device,3.0
130,2002-03-01,,0,{'charge_slug': '55-delivery-container-theft'},delivery container theft,
131,2002-03-01,1.0,5,{'charge_slug': '59-theft-from-coin-operated-machine-or-device'},theft from coin operated machine or device,6.0
132,2002-03-01,302.0,1159,{'charge_slug': '54-retail-theft'},retail theft,1461.0
133,2002-03-01,127.0,329,{'charge_slug': '58-theft-from-building'},theft from building,456.0
134,2002-03-01,1.0,104,{'charge_slug': '50-theft-of-lost-or-mislaid-property'},theft of lost or mislaid property,105.0
135,2002-04-01,325.0,1124,{'charge_slug': '54-retail-theft'},retail theft,1449.0
136,2002-04-01,2.0,6,{'charge_slug': '59-theft-from-coin-operated-machine-or-device'},theft from coin operated machine or device,8.0
137,2002-04-01,,0,{'charge_slug': '55-delivery-container-theft'},delivery container theft,
138,2002-04-01,0.0,108,{'charge_slug': '50-theft-of-lost-or-mislaid-property'},theft of lost or mislaid property,108.0
139,2002-04-01,141.0,325,{'charge_slug': '58-theft-from-building'},theft from building,466.0
140,2002-05-01,124.0,298,{'charge_slug': '58-theft-from-building'},theft from building,422.0
141,2002-05-01,1.0,77,{'charge_slug': '50-theft-of-lost-or-mislaid-property'},theft of lost or mislaid property,78.0
142,2002-05-01,,0,{'charge_slug': '55-delivery-container-theft'},delivery container theft,
143,2002-05-01,0.0,6,{'charge_slug': '59-theft-from-coin-operated-machine-or-device'},theft from coin operated machine or device,6.0
144,2002-05-01,335.0,1133,{'charge_slug': '54-retail-theft'},retail theft,1468.0
145,2002-06-01,1.0,4,{'charge_slug': '59-theft-from-coin-operated-machine-or-device'},theft from coin operated machine or device,5.0
146,2002-06-01,152.0,368,{'charge_slug': '58-theft-from-building'},theft from building,520.0
147,2002-06-01,,0,{'charge_slug': '55-delivery-container-theft'},delivery container theft,
148,2002-06-01,0.0,107,{'charge_slug': '50-theft-of-lost-or-mislaid-property'},theft of lost or mislaid property,107.0
149,2002-06-01,306.0,1035,{'charge_slug': '54-retail-theft'},retail theft,1341.0
150,2002-07-01,316.0,1077,{'charge_slug': '54-retail-theft'},retail theft,1393.0
151,2002-07-01,3.0,2,{'charge_slug': '59-theft-from-coin-operated-machine-or-device'},theft from coin operated machine or device,5.0
152,2002-07-01,122.0,352,{'charge_slug': '58-theft-from-building'},theft from building,474.0
153,2002-07-01,,0,{'charge_slug': '55-delivery-container-theft'},delivery container theft,
154,2002-07-01,0.0,93,{'charge_slug': '50-theft-of-lost-or-mislaid-property'},theft of lost or mislaid property,93.0
155,2002-08-01,0.0,6,{'charge_slug': '59-theft-from-coin-operated-machine-or-device'},theft from coin operated machine or device,6.0
156,2002-08-01,,0,{'charge_slug': '55-delivery-container-theft'},delivery container theft,
157,2002-08-01,137.0,384,{'charge_slug': '58-theft-from-building'},theft from building,521.0
158,2002-08-01,1.0,102,{'charge_slug': '50-theft-of-lost-or-mislaid-property'},theft of lost or mislaid property,103.0
159,2002-08-01,324.0,1057,{'charge_slug': '54-retail-theft'},retail theft,1381.0
160,2002-09-01,0.0,98,{'charge_slug': '50-theft-of-lost-or-mislaid-property'},theft of lost or mislaid property,98.0
161,2002-09-01,1.0,2,{'charge_slug': '59-theft-from-coin-operated-machine-or-device'},theft from coin operated machine or device,3.0
162,2002-09-01,,0,{'charge_slug': '55-delivery-container-theft'},delivery container theft,
163,2002-09-01,281.0,981,{'charge_slug': '54-retail-theft'},retail theft,1262.0
164,2002-09-01,106.0,327,{'charge_slug': '58-theft-from-building'},theft from building,433.0
165,2002-10-01,135.0,371,{'charge_slug': '58-theft-from-building'},theft from building,506.0
166,2002-10-01,0.0,103,{'charge_slug': '50-theft-of-lost-or-mislaid-property'},theft of lost or mislaid property,103.0
167,2002-10-01,0.0,5,{'charge_slug': '59-theft-from-coin-operated-machine-or-device'},theft from coin operated machine or device,5.0
168,2002-10-01,,0,{'charge_slug': '55-delivery-container-theft'},delivery container theft,
169,2002-10-01,363.0,1146,{'charge_slug': '54-retail-theft'},retail theft,1509.0
170,2002-11-01,0.0,2,{'charge_slug': '59-theft-from-coin-operated-machine-or-device'},theft from coin operated machine or device,2.0
171,2002-11-01,,0,{'charge_slug': '55-delivery-container-theft'},delivery container theft,
172,2002-11-01,253.0,890,{'charge_slug': '54-retail-theft'},retail theft,1143.0
173,2002-11-01,0.0,63,{'charge_slug': '50-theft-of-lost-or-mislaid-property'},theft of lost or mislaid property,63.0
174,2002-11-01,73.0,289,{'charge_slug': '58-theft-from-building'},theft from building,362.0
175,2002-12-01,,0,{'charge_slug': '55-delivery-container-theft'},delivery container theft,
176,2002-12-01,367.0,1233,{'charge_slug': '54-retail-theft'},retail theft,1600.0
177,2002-12-01,0.0,1,{'charge_slug': '59-theft-from-coin-operated-machine-or-device'},theft from coin operated machine or device,1.0
178,2002-12-01,0.0,87,{'charge_slug': '50-theft-of-lost-or-mislaid-property'},theft of lost or mislaid property,87.0
179,2002-12-01,129.0,317,{'charge_slug': '58-theft-from-building'},theft from building,446.0
180,2003-01-01,0.0,0,{'charge_slug': '59-theft-from-coin-operated-machine-or-device'},theft from coin operated machine or device,0.0
181,2003-01-01,1.0,59,{'charge_slug': '50-theft-of-lost-or-mislaid-property'},theft of lost or mislaid property,60.0
182,2003-01-01,97.0,307,{'charge_slug': '58-theft-from-building'},theft from building,404.0
183,2003-01-01,,0,{'charge_slug': '55-delivery-container-theft'},delivery container theft,
184,2003-01-01,317.0,1054,{'charge_slug': '54-retail-theft'},retail theft,1371.0
185,2003-02-01,261.0,952,{'charge_slug': '54-retail-theft'},retail theft,1213.0
186,2003-02-01,1.0,85,{'charge_slug': '50-theft-of-lost-or-mislaid-property'},theft of lost or mislaid property,86.0
